"","Group","mod","dif","SE"
"142","FG White Hispanic women","dif_MAIHDA_5000",-3.24,2.288
"143","FG White Hispanic women","dif_MAIHDA_1000",-7.249,4.134
"144","FG White Hispanic women","dif_MAIHDA_500",-4.242,1.703
"145","FG White men","dif_MLM_10000",-0.083,0.898
"146","FG White men","dif_MLM_5000",-2.46,1.209
"147","FG White men","dif_MLM_1000",-3.973,2.547
"148","FG White men","dif_MLM_500",5.781,3.548
"149","FG White men","dif_MAIHDA_10000",-0.11,0.914
"150","FG White men","dif_MAIHDA_5000",-2.3,1.167
"151","FG White men","dif_MAIHDA_1000",-3.934,2.524
"152","FG White men","dif_MAIHDA_500",-0.11,0.914
"153","FG White women","dif_MLM_10000",0.328,1.002
"154","FG White women","dif_MLM_5000",0.339,1.389
"155","FG White women","dif_MLM_1000",-4.547,2.851
"156","FG White women","dif_MLM_500",-0.022,4.089
"157","FG White women","dif_MAIHDA_10000",0.287,0.999
"158","FG White women","dif_MAIHDA_5000",0.022,1.373
"159","FG White women","dif_MAIHDA_1000",-3.655,2.809
"160","FG White women","dif_MAIHDA_500",0.287,0.999
